LAD13CD,LAD13CDO,LAD13NM,FLUOCC,C_LAT,C_LON,TOTALOCC,RATE
E07000092,24UL,Rushmoor,3,51.273395156906496,-0.7674765608487341,503,"0,596421471172962"
E07000093,24UN,Test Valley,2,51.128563346804164,-1.510649909998276,549,"0,364298724954463"
E07000094,24UP,Winchester,1,51.02821131686522,-1.2212318785825929,363,"0,275482093663912"
E07000095,26UB,Broxbourne,3,51.72506853610904,-0.047337394561975436,315,"0,952380952380952"
E07000096,26UC,Dacorum,0,51.77814122369392,-0.5409030999804436,223,0
E07000098,26UE,Hertsmere,0,51.677233021464296,-0.2810786111163503,119,0
E07000099,26UF,North Hertfordshire,11,51.95905978777408,-0.19249744496742494,640,"1,71875"
E07000102,26UJ,Three Rivers,1,51.66093303924954,-0.46057582377379036,114,"0,87719298245614"
E07000103,26UK,Watford,3,51.66806142929197,-0.4033622717976791,510,"0,588235294117647"
E07000105,29UB,Ashford,3,51.12526469473167,0.8114541623559313,421,"0,712589073634204"
E07000106,29UC,Canterbury,10,51.28382337557635,1.101666005189286,834,"1,19904076738609"
E07000107,29UD,Dartford,2,51.43139633562336,0.25318678652523613,201,"0,99502487562189"
E07000108,29UE,Dover,208,51.21228892376349,1.2893092400407977,810,"25,679012345679"
E07000109,29UG,Gravesham,0,51.40508482105971,0.3950403212741568,258,0
E07000110,29UH,Maidstone,1,51.23494885017828,0.5806170702310988,315,"0,317460317460317"
E07000111,29UK,Sevenoaks,0,51.27544653257266,0.17211869618242973,132,0
E07000112,29UL,Shepway,2,51.05374202696008,0.9941944418526365,318,"0,628930817610063"
E07000113,29UM,Swale,1,51.34163611907232,0.8132043029904239,148,"0,675675675675676"
E07000114,29UN,Thanet,239,51.3544299361921,1.3407220974576832,671,"35,618479880775"
E07000115,29UP,Tonbridge and Malling,2,51.273576868753075,0.3579474558092878,117,"1,70940170940171"
E07000116,29UQ,Tunbridge Wells,1,51.11431789635391,0.430706593894368,86,"1,16279069767442"
E07000117,30UD,Burnley,3,53.778931763718056,-2.2219551189955884,651,"0,460829493087558"
E07000118,30UE,Chorley,2,53.66147860322284,-2.647877026835241,301,"0,664451827242525"
E07000119,30UF,Fylde,0,53.78394276094411,-2.92288243643623,43,0
E07000120,30UG,Hyndburn,2,53.75865065456577,-2.3898029288962728,227,"0,881057268722467"
E07000121,30UH,Lancaster,12,54.06902999423789,-2.7147470894319716,1531,"0,783801436969301"
E07000122,30UJ,Pendle,53,53.86550314489748,-2.1849322573481067,346,"15,3179190751445"
E07000123,30UK,Preston,1,53.811812960301665,-2.6976459937819866,121,"0,826446280991735"
E07000124,30UL,Ribble Valley,1,53.90728543343416,-2.44470448248998,62,"1,61290322580645"
E07000125,30UM,Rossendale,0,53.69381362636665,-2.267315545209135,39,0
E07000126,30UN,South Ribble,13,53.72812182375336,-2.71023424493773,1674,"0,776583034647551"
E07000127,30UP,West Lancashire,1,53.60963177126401,-2.8826159457806533,176,"0,568181818181818"
E07000128,30UQ,Wyre,0,53.90295643971159,-2.853995767279022,12,0
E07000129,31UB,Blaby,1,52.571489267905896,-1.2219424624516144,28,"3,57142857142857"
E07000130,31UC,Charnwood,7,52.736988834306686,-1.1461659094967112,353,"1,98300283286119"
E07000131,31UD,Harborough,0,52.539299898061365,-1.007881356867951,33,0
E07000132,31UE,Hinckley and Bosworth,1,52.61646746509378,-1.391027486894377,269,"0,371747211895911"
E07000133,31UG,Melton,0,52.796430099587354,-0.8561351863201906,18,0
E07000134,31UH,North West Leicestershire,1,52.753126049274414,-1.405007634973666,175,"0,571428571428571"
E07000135,31UJ,Oadby and Wigston,1,52.5871092538787,-1.0933946398002528,15,"6,66666666666667"
E07000136,32UB,Boston,7,52.97413072701893,-0.022235364481463037,585,"1,1965811965812"
E07000137,32UC,East Lindsey,2,53.249625094946516,0.030274656939328393,551,"0,362976406533575"
E07000138,32UD,Lincoln,13,53.22471159412275,-0.5549205358013894,1186,"1,09612141652614"
E07000139,32UE,North Kesteven,0,53.081159824795186,-0.4461355823752978,80,0
E07000140,32UF,South Holland,2,52.79754526425464,-0.03215929098815302,98,"2,04081632653061"
E07000141,32UG,South Kesteven,2,52.85442251589921,-0.5182384244658645,361,"0,554016620498615"
E07000142,32UH,West Lindsey,0,53.39281102630558,-0.4769437744050478,3,0
E07000143,33UB,Breckland,0,52.58809814259513,0.8373285940030913,23,0
E07000144,33UC,Broadland,0,52.70116047325135,1.3102566281624821,15,0
E07000145,33UD,Great Yarmouth,2,52.64065518500931,1.6613556144881652,166,"1,20481927710843"
